date,gross_return,transaction_cost,net_return,equity,one_way_turnover,equity_exposure,etf_weight,cash_weight,holding_count,holdings,return_weights,asset_weights,target_drift_due_to_trade_lock,pending_execution
2023-09-01,0.0,0.0002,-0.0002,0.9998,0.5,0.0,1.0,0.0,0,[],{},"{""515180"": 1.0}",0.0,False
2023-09-04,0.013227513227513255,0.0,0.013227513227513255,1.0130248677248679,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-05,0.015665796344647598,0.0,0.015665796344647598,1.0288947089947091,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-06,-0.012853470437018122,0.0,-0.012853470437018122,1.0156698412698413,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-07,0.0017361111111111605,0.0,0.0017361111111111605,1.0174331569664903,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-08,-0.0060658578856152,0.0,-0.0060658578856152,1.0112615520282187,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-11,-0.005231037489102031,0.0,-0.005231037489102031,1.0059716049382716,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-12,0.007887817703768452,0.0,0.007887817703768452,1.013906525573192,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-13,-0.0008695652173912327,0.0,-0.0008695652173912327,1.0130248677248677,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-14,0.003481288076588429,0.0,0.003481288076588429,1.016551499118166,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-15,0.012142237640936804,0.0,0.012142237640936804,1.0288947089947091,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-18,-0.0025706940874037354,0.0,-0.0025706940874037354,1.0262497354497355,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-19,-0.0008591065292095079,0.0,-0.0008591065292095079,1.0253680776014111,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-20,0.006878761822871837,0.0,0.006878761822871837,1.0324213403880071,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-21,0.0034158838599487318,0.0,0.0034158838599487318,1.0359479717813052,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-22,-0.009361702127659632,0.0,-0.009361702127659632,1.0262497354497355,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-25,0.0077319587628867925,0.0,0.0077319587628867925,1.0341846560846564,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-26,-0.0034100596760443525,0.0,-0.0034100596760443525,1.0306580246913584,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-27,-0.007698887938409005,0.0,-0.007698887938409005,1.0227231040564375,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-09-28,0.0034482758620688614,0.0,0.0034482758620688614,1.0262497354497355,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-09,-0.005154639175257714,0.0,-0.005154639175257714,1.0209597883597885,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-10,-0.003454231433506094,0.0,-0.003454231433506094,1.0174331569664905,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-11,-0.009532062391681029,0.0,-0.009532062391681029,1.0077349206349209,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-12,-0.002624671916010568,0.0,-0.002624671916010568,1.0050899470899473,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-13,0.0052631578947368585,0.0,0.0052631578947368585,1.0103798941798943,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-16,0.003490401396160525,0.0,0.003490401396160525,1.0139065255731923,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-17,0.0017391304347826875,0.0,0.0017391304347826875,1.0156698412698413,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-18,0.0017361111111111605,0.0,0.0017361111111111605,1.0174331569664903,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-19,-0.012131715771230511,0.0,-0.012131715771230511,1.005089947089947,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-20,-0.018421052631578894,0.0,-0.018421052631578894,0.9865751322751323,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-23,-0.00536193029490617,0.0,-0.00536193029490617,0.9812851851851851,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-24,-0.008984725965858087,0.0,-0.008984725965858087,0.9724686067019399,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-25,0.0072529465095194645,0.0,0.0072529465095194645,0.979521869488536,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-26,0.0027002700270029045,0.0,0.0027002700270029045,0.9821668430335098,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-27,0.008976660682226134,0.0,0.008976660682226134,0.9909834215167548,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-30,0.003558718861209842,0.0,0.003558718861209842,0.9945100529100527,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
2023-10-31,-0.013297872340425454,0.0,-0.013297872340425454,0.981285185185185,0.0,0.0,1.0,0.0,0,[],"{""515180"": 1.0}","{""515180"": 1.0}",0.0,False
